gene_symbol,entrez_id,probe_name
COL1A1,1277,CUST_1441_PI416379584
COL1A2,1278,A_24_P265274
COL1A2,1278,A_24_P277934
COL2A1,1280,CUST_15505_PI416261804
COL2A1,1280,A_23_P500464
COL3A1,1281,A_24_P402242
COL3A1,1281,A_32_P226656
COL3A1,1281,A_23_P142533
COL3A1,1281,A_24_P935491
COL4A1,1282,A_24_P68342
COL4A1,1282,A_32_P110942
COL4A1,1282,A_23_P65240
COL4A2,1284,CUST_9239_PI416261804
COL4A2,1284,A_23_P205031
COL4A3,1285,A_24_P308469
COL4A4,1286,CUST_12015_PI416261804
COL4A4,1286,A_23_P254522
COL4A6,1288,CUST_6493_PI416261804
COL4A6,1288,A_23_P217379
COL5A2,1290,A_32_P218734
COL5A2,1290,A_23_P10391
COL5A2,1290,A_23_P33196
COL6A3,1293,A_32_P156322
COL7A1,1294,A_23_P144071
COL8A2,1296,CUST_13605_PI416261804
COL8A2,1296,A_24_P365975
COL9A1,1297,CUST_79_PI417507815
COL9A1,1297,A_24_P311856
COL9A2,1298,CUST_10863_PI416261804
COL9A2,1298,A_23_P45786
COL9A3,1299,CUST_10961_PI416261804
CA4,762,A_23_P4096
CA5A,763,A_24_P540057
CA5A,763,CUST_7819_PI416261804
CA5A,763,A_23_P95683
CA6,765,CUST_13163_PI416261804
CA6,765,A_24_P376760
CA8,767,CUST_14264_PI416261804
CA8,767,A_23_P83838
CA9,768,CUST_12862_PI416261804
CA9,768,A_23_P157793
CA11,770,CUST_5092_PI416261804
CA11,770,A_23_P78782
DDR1,780,A_24_P367289
DDR1,780,A_23_P93311
DDR1,780,A_24_P123601
CACNB1,782,CUST_132_PI416408490
CACNB1,782,CUST_1079_PI416261804
CACNB1,782,A_24_P190190
CACNB1,782,A_23_P405754
CACNB1,782,A_24_P91165
CACNB3,784,A_23_P371794
CACNB3,784,CUST_133_PI416408490
CACNB3,784,A_23_P204016
CACNG1,786,CUST_1392_PI416261804
CACNG1,786,CUST_135_PI416408490
CACNG1,786,A_23_P89302
SLC25A20,788,CUST_6932_PI416261804
SLC25A20,788,A_23_P72025
CAD,790,CUST_9008_PI416261804
CAD,790,A_23_P40049
CALB1,793,CUST_140_PI416408490
CALB1,793,CUST_16773_PI416261804
CALB1,793,A_23_P43197
CALB2,794,CUST_14719_PI416261804
S100G,795,CUST_2020_PI416261804
S100G,795,A_23_P44996
CALCB,797,CUST_10011_PI416261804
CALCR,799,CUST_16112_PI416261804
CALR,811,A_24_P610375
CALR,811,A_23_P67288
CALR,811,A_24_P350969
CAMK4,814,CUST_12245_PI416261804
CAMK4,814,A_23_P250347
CAMK2B,816,CUST_10805_PI416261804
CAMK2B,816,CUST_10802_PI416261804
CAMK2B,816,A_23_P42882
CAMK2G,818,A_23_P46903
CAMK2G,818,A_24_P141332
CAMLG,819,A_23_P213728
CAMLG,819,A_24_P234856
CAMP,820,CUST_15563_PI416261804
CAMP,820,A_23_P253791
CAPG,822,CUST_12423_PI416261804
CAPG,822,A_23_P165636
CAPN1,823,CUST_11304_PI416261804
CAPN1,823,A_23_P138835
CAPN2,824,CUST_12666_PI416261804
CAPN2,824,A_23_P23924
CAPN6,827,CUST_9146_PI416261804
CAPN6,827,A_23_P217570
CAPZA1,829,A_24_P379379
CAPZA1,829,A_24_P310894
CAPZA2,830,A_23_P307940
CAPZA2,830,A_32_P224666
CAPZB,832,CUST_5419_PI416261804
CAPZB,832,A_23_P126752
CASQ1,844,CUST_15110_PI416261804
CASQ1,844,A_23_P173
CASQ2,845,CUST_12443_PI416261804
CASQ2,845,A_23_P126582
CASR,846,CUST_17069_PI416261804
CASR,846,A_23_P29719
CAT,847,CUST_15643_PI416261804
CAT,847,A_23_P105138
CAV1,857,A_24_P12626
CAV1,857,A_32_P56489
CAV1,857,A_23_P134454
CAV2,858,A_23_P123071
CAV3,859,A_24_P251599
CAV3,859,A_24_P319989
RUNX2,860,A_32_P161762
RUNX2,860,A_24_P69267
CBFA2T3,863,CUST_9830_PI416261804
CBFA2T3,863,A_23_P500741
RUNX3,864,CUST_17090_PI416261804
RUNX3,864,A_23_P51231
SERPINA6,866,CUST_15119_PI416261804
COL9A3,1299,CUST_202_PI416408490
COL9A3,1299,A_23_P40108
COL10A1,1300,CUST_12176_PI416261804
COL10A1,1300,A_23_P214144
COL13A1,1305,A_23_P1331
COL13A1,1305,A_24_P90005
COL15A1,1306,A_24_P315120
